"stratum","value","week","year"
"A00..00",20,1,2023
"A00..00",37,2,2023
"A00..00",40,3,2023
"A00..00",54,4,2023
"A00..00",47,5,2023
"A00..00",46,6,2023
"A00..00",59,7,2023
"A00..00",52,8,2023
"A00..00",48,9,2023
"A00..00",74,10,2023
"A00..00",77,11,2023
"A00..00",71,12,2023
"A00..00",55,13,2023
"A00..00",46,14,2023
"A00..00",63,15,2023
"A00..00",87,16,2023
"A00..00",89,17,2023
"A00..00",81,18,2023
"A00..00",70,19,2023
"A00..00",63,20,2023
"A00..00",81,21,2023
"A00..00",34,22,2023
"A01..01",16,1,2023
"A01..01",23,2,2023
"A01..01",41,3,2023
"A01..01",36,4,2023
"A01..01",50,5,2023
"A01..01",56,6,2023
"A01..01",45,7,2023
"A01..01",84,8,2023
"A01..01",83,9,2023
"A01..01",83,10,2023
"A01..01",81,11,2023
"A01..01",99,12,2023
"A01..01",95,13,2023
"A01..01",81,14,2023
"A01..01",98,15,2023
"A01..01",96,16,2023
"A01..01",97,17,2023
"A01..01",89,18,2023
"A01..01",120,19,2023
"A01..01",82,20,2023
"A01..01",102,21,2023
"A01..01",32,22,2023
"A02..02",5,1,2023
"A02..02",24,2,2023
"A02..02",22,3,2023
"A02..02",46,4,2023
"A02..02",40,5,2023
"A02..02",62,6,2023
"A02..02",49,7,2023
"A02..02",88,8,2023
"A02..02",51,9,2023
"A02..02",74,10,2023
"A02..02",75,11,2023
"A02..02",71,12,2023
"A02..02",96,13,2023
"A02..02",92,14,2023
"A02..02",82,15,2023
"A02..02",82,16,2023
"A02..02",111,17,2023
"A02..02",97,18,2023
"A02..02",81,19,2023
"A02..02",76,20,2023
"A02..02",69,21,2023
"A02..02",33,22,2023
"A03..03",7,1,2023
"A03..03",17,2,2023
"A03..03",27,3,2023
"A03..03",36,4,2023
"A03..03",27,5,2023
"A03..03",33,6,2023
"A03..03",31,7,2023
"A03..03",49,8,2023
"A03..03",50,9,2023
"A03..03",53,10,2023
"A03..03",74,11,2023
"A03..03",84,12,2023
"A03..03",68,13,2023
"A03..03",49,14,2023
"A03..03",49,15,2023
"A03..03",63,16,2023
"A03..03",82,17,2023
"A03..03",56,18,2023
"A03..03",75,19,2023
"A03..03",58,20,2023
"A03..03",67,21,2023
"A03..03",25,22,2023
"A04..04",7,1,2023
"A04..04",18,2,2023
"A04..04",20,3,2023
"A04..04",31,4,2023
"A04..04",22,5,2023
"A04..04",41,6,2023
"A04..04",29,7,2023
"A04..04",49,8,2023
"A04..04",55,9,2023
"A04..04",50,10,2023
"A04..04",66,11,2023
"A04..04",67,12,2023
"A04..04",67,13,2023
"A04..04",45,14,2023
"A04..04",45,15,2023
"A04..04",51,16,2023
"A04..04",87,17,2023
"A04..04",66,18,2023
"A04..04",78,19,2023
"A04..04",75,20,2023
"A04..04",75,21,2023
"A04..04",22,22,2023
"A05..05",8,1,2023
"A05..05",14,2,2023
"A05..05",16,3,2023
"A05..05",25,4,2023
"A05..05",29,5,2023
"A05..05",35,6,2023
"A05..05",30,7,2023
"A05..05",39,8,2023
"A05..05",42,9,2023
"A05..05",38,10,2023
"A05..05",53,11,2023
"A05..05",66,12,2023
"A05..05",54,13,2023
"A05..05",36,14,2023
"A05..05",38,15,2023
"A05..05",44,16,2023
"A05..05",61,17,2023
"A05..05",62,18,2023
"A05..05",61,19,2023
"A05..05",57,20,2023
"A05..05",56,21,2023
"A05..05",28,22,2023
"A06..06",5,1,2023
"A06..06",10,2,2023
"A06..06",10,3,2023
"A06..06",22,4,2023
"A06..06",11,5,2023
"A06..06",24,6,2023
"A06..06",16,7,2023
"A06..06",44,8,2023
"A06..06",28,9,2023
"A06..06",41,10,2023
"A06..06",43,11,2023
"A06..06",46,12,2023
"A06..06",42,13,2023
"A06..06",47,14,2023
"A06..06",40,15,2023
"A06..06",41,16,2023
"A06..06",45,17,2023
"A06..06",48,18,2023
"A06..06",45,19,2023
"A06..06",40,20,2023
"A06..06",36,21,2023
"A06..06",22,22,2023
"A07..07",2,1,2023
"A07..07",8,2,2023
"A07..07",2,3,2023
"A07..07",8,4,2023
"A07..07",5,5,2023
"A07..07",11,6,2023
"A07..07",10,7,2023
"A07..07",15,8,2023
"A07..07",26,9,2023
"A07..07",30,10,2023
"A07..07",30,11,2023
"A07..07",38,12,2023
"A07..07",23,13,2023
"A07..07",20,14,2023
"A07..07",24,15,2023
"A07..07",27,16,2023
"A07..07",34,17,2023
"A07..07",49,18,2023
"A07..07",34,19,2023
"A07..07",36,20,2023
"A07..07",30,21,2023
"A07..07",16,22,2023
"A08..08",5,1,2023
"A08..08",9,2,2023
"A08..08",6,3,2023
"A08..08",6,4,2023
"A08..08",5,5,2023
"A08..08",12,6,2023
"A08..08",8,7,2023
"A08..08",17,8,2023
"A08..08",23,9,2023
"A08..08",19,10,2023
"A08..08",18,11,2023
"A08..08",30,12,2023
"A08..08",23,13,2023
"A08..08",19,14,2023
"A08..08",19,15,2023
"A08..08",22,16,2023
"A08..08",26,17,2023
"A08..08",33,18,2023
"A08..08",18,19,2023
"A08..08",13,20,2023
"A08..08",30,21,2023
"A08..08",4,22,2023
"A09..09",1,1,2023
"A09..09",1,2,2023
"A09..09",3,3,2023
"A09..09",6,4,2023
"A09..09",11,5,2023
"A09..09",4,6,2023
"A09..09",12,7,2023
"A09..09",13,8,2023
"A09..09",18,9,2023
"A09..09",11,10,2023
"A09..09",24,11,2023
"A09..09",18,12,2023
"A09..09",24,13,2023
"A09..09",21,14,2023
"A09..09",18,15,2023
"A09..09",14,16,2023
"A09..09",12,17,2023
"A09..09",15,18,2023
"A09..09",19,19,2023
"A09..09",12,20,2023
"A09..09",22,21,2023
"A09..09",5,22,2023
"A10..10",6,1,2023
"A10..10",5,2,2023
"A10..10",2,3,2023
"A10..10",2,4,2023
"A10..10",2,5,2023
"A10..10",5,6,2023
"A10..10",9,7,2023
"A10..10",7,8,2023
"A10..10",13,9,2023
"A10..10",9,10,2023
"A10..10",14,11,2023
"A10..10",15,12,2023
"A10..10",14,13,2023
"A10..10",11,14,2023
"A10..10",9,15,2023
"A10..10",11,16,2023
"A10..10",18,17,2023
"A10..10",16,18,2023
"A10..10",9,19,2023
"A10..10",13,20,2023
"A10..10",15,21,2023
"A10..10",7,22,2023
"A11..11",2,1,2023
"A11..11",3,2,2023
"A11..11",1,3,2023
"A11..11",2,4,2023
"A11..11",5,5,2023
"A11..11",5,6,2023
"A11..11",7,7,2023
"A11..11",4,8,2023
"A11..11",8,9,2023
"A11..11",7,10,2023
"A11..11",4,11,2023
"A11..11",8,12,2023
"A11..11",4,13,2023
"A11..11",2,14,2023
"A11..11",7,15,2023
"A11..11",6,16,2023
"A11..11",11,17,2023
"A11..11",7,18,2023
"A11..11",10,19,2023
"A11..11",11,20,2023
"A11..11",10,21,2023
"A11..11",2,22,2023
"A12..12",2,1,2023
"A12..12",NA,2,2023
"A12..12",NA,3,2023
"A12..12",2,4,2023
"A12..12",NA,5,2023
"A12..12",2,6,2023
"A12..12",5,7,2023
"A12..12",4,8,2023
"A12..12",3,9,2023
"A12..12",6,10,2023
"A12..12",6,11,2023
"A12..12",6,12,2023
"A12..12",2,13,2023
"A12..12",4,14,2023
"A12..12",3,15,2023
"A12..12",8,16,2023
"A12..12",9,17,2023
"A12..12",8,18,2023
"A12..12",NA,19,2023
"A12..12",9,20,2023
"A12..12",7,21,2023
"A12..12",2,22,2023
"A13..13",1,1,2023
"A13..13",1,2,2023
"A13..13",5,3,2023
"A13..13",2,4,2023
"A13..13",2,5,2023
"A13..13",4,6,2023
"A13..13",1,7,2023
"A13..13",2,8,2023
"A13..13",5,9,2023
"A13..13",2,10,2023
"A13..13",4,11,2023
"A13..13",5,12,2023
"A13..13",2,13,2023
"A13..13",3,14,2023
"A13..13",6,15,2023
"A13..13",3,16,2023
"A13..13",5,17,2023
"A13..13",5,18,2023
"A13..13",5,19,2023
"A13..13",7,20,2023
"A13..13",7,21,2023
"A13..13",2,22,2023
"A14..14",NA,1,2023
"A14..14",NA,2,2023
"A14..14",1,3,2023
"A14..14",2,4,2023
"A14..14",1,5,2023
"A14..14",NA,6,2023
"A14..14",1,7,2023
"A14..14",2,8,2023
"A14..14",2,9,2023
"A14..14",2,10,2023
"A14..14",2,11,2023
"A14..14",4,12,2023
"A14..14",1,13,2023
"A14..14",2,14,2023
"A14..14",1,15,2023
"A14..14",2,16,2023
"A14..14",4,17,2023
"A14..14",5,18,2023
"A14..14",2,19,2023
"A14..14",1,20,2023
"A14..14",7,21,2023
"A14..14",2,22,2023
"A15..15",1,1,2023
"A15..15",NA,2,2023
"A15..15",1,3,2023
"A15..15",3,4,2023
"A15..15",2,5,2023
"A15..15",2,6,2023
"A15..15",1,7,2023
"A15..15",NA,8,2023
"A15..15",NA,9,2023
"A15..15",4,10,2023
"A15..15",5,11,2023
"A15..15",2,12,2023
"A15..15",1,13,2023
"A15..15",2,14,2023
"A15..15",6,15,2023
"A15..15",2,16,2023
"A15..15",5,17,2023
"A15..15",3,18,2023
"A15..15",3,19,2023
"A15..15",3,20,2023
"A15..15",3,21,2023
"A15..15",NA,22,2023
"A16..16",1,1,2023
"A16..16",3,2,2023
"A16..16",NA,3,2023
"A16..16",2,4,2023
"A16..16",4,5,2023
"A16..16",3,6,2023
"A16..16",5,7,2023
"A16..16",1,8,2023
"A16..16",1,9,2023
"A16..16",6,10,2023
"A16..16",4,11,2023
"A16..16",5,12,2023
"A16..16",2,13,2023
"A16..16",2,14,2023
"A16..16",2,15,2023
"A16..16",6,16,2023
"A16..16",5,17,2023
"A16..16",2,18,2023
"A16..16",4,19,2023
"A16..16",2,20,2023
"A16..16",8,21,2023
"A16..16",NA,22,2023
"A17..17",NA,1,2023
"A17..17",NA,2,2023
"A17..17",2,3,2023
"A17..17",NA,4,2023
"A17..17",2,5,2023
"A17..17",1,6,2023
"A17..17",1,7,2023
"A17..17",2,8,2023
"A17..17",2,9,2023
"A17..17",1,10,2023
"A17..17",4,11,2023
"A17..17",5,12,2023
"A17..17",2,13,2023
"A17..17",3,14,2023
"A17..17",5,15,2023
"A17..17",5,16,2023
"A17..17",6,17,2023
"A17..17",4,18,2023
"A17..17",2,19,2023
"A17..17",NA,20,2023
"A17..17",3,21,2023
"A17..17",3,22,2023
"A18..18",2,1,2023
"A18..18",NA,2,2023
"A18..18",NA,3,2023
"A18..18",NA,4,2023
"A18..18",NA,5,2023
"A18..18",4,6,2023
"A18..18",2,7,2023
"A18..18",3,8,2023
"A18..18",1,9,2023
"A18..18",3,10,2023
"A18..18",1,11,2023
"A18..18",NA,12,2023
"A18..18",1,13,2023
"A18..18",1,14,2023
"A18..18",1,15,2023
"A18..18",3,16,2023
"A18..18",1,17,2023
"A18..18",NA,18,2023
"A18..18",4,19,2023
"A18..18",1,20,2023
"A18..18",1,21,2023
"A18..18",2,22,2023
"A19..19",NA,1,2023
"A19..19",1,2,2023
"A19..19",1,3,2023
"A19..19",1,4,2023
"A19..19",NA,5,2023
"A19..19",1,6,2023
"A19..19",2,7,2023
"A19..19",1,8,2023
"A19..19",4,9,2023
"A19..19",3,10,2023
"A19..19",3,11,2023
"A19..19",1,12,2023
"A19..19",7,13,2023
"A19..19",2,14,2023
"A19..19",3,15,2023
"A19..19",4,16,2023
"A19..19",3,17,2023
"A19..19",2,18,2023
"A19..19",3,19,2023
"A19..19",1,20,2023
"A19..19",3,21,2023
"A19..19",2,22,2023
"A20..20",1,1,2023
"A20..20",2,2,2023
"A20..20",1,3,2023
"A20..20",2,4,2023
"A20..20",2,5,2023
"A20..20",3,6,2023
"A20..20",2,7,2023
"A20..20",1,8,2023
"A20..20",1,9,2023
"A20..20",4,10,2023
"A20..20",3,11,2023
"A20..20",3,12,2023
"A20..20",1,13,2023
"A20..20",1,14,2023
"A20..20",2,15,2023
"A20..20",4,16,2023
"A20..20",5,17,2023
"A20..20",8,18,2023
"A20..20",4,19,2023
"A20..20",1,20,2023
"A20..20",8,21,2023
"A20..20",NA,22,2023
"A21..21",2,1,2023
"A21..21",1,2,2023
"A21..21",NA,3,2023
"A21..21",3,4,2023
"A21..21",1,5,2023
"A21..21",2,6,2023
"A21..21",1,7,2023
"A21..21",3,8,2023
"A21..21",3,9,2023
"A21..21",5,10,2023
"A21..21",3,11,2023
"A21..21",2,12,2023
"A21..21",NA,13,2023
"A21..21",7,14,2023
"A21..21",3,15,2023
"A21..21",6,16,2023
"A21..21",4,17,2023
"A21..21",4,18,2023
"A21..21",2,19,2023
"A21..21",2,20,2023
"A21..21",1,21,2023
"A21..21",NA,22,2023
"A22..22",1,1,2023
"A22..22",1,2,2023
"A22..22",2,3,2023
"A22..22",NA,4,2023
"A22..22",NA,5,2023
"A22..22",1,6,2023
"A22..22",4,7,2023
"A22..22",2,8,2023
"A22..22",1,9,2023
"A22..22",3,10,2023
"A22..22",1,11,2023
"A22..22",1,12,2023
"A22..22",1,13,2023
"A22..22",3,14,2023
"A22..22",1,15,2023
"A22..22",3,16,2023
"A22..22",1,17,2023
"A22..22",3,18,2023
"A22..22",5,19,2023
"A22..22",1,20,2023
"A22..22",3,21,2023
"A22..22",NA,22,2023
"A23..23",2,1,2023
"A23..23",2,2,2023
"A23..23",NA,3,2023
"A23..23",NA,4,2023
"A23..23",NA,5,2023
"A23..23",2,6,2023
"A23..23",1,7,2023
"A23..23",1,8,2023
"A23..23",4,9,2023
"A23..23",2,10,2023
"A23..23",4,11,2023
"A23..23",2,12,2023
"A23..23",2,13,2023
"A23..23",3,14,2023
"A23..23",1,15,2023
"A23..23",7,16,2023
"A23..23",2,17,2023
"A23..23",1,18,2023
"A23..23",4,19,2023
"A23..23",2,20,2023
"A23..23",4,21,2023
"A23..23",1,22,2023
"A24..24",1,1,2023
"A24..24",4,2,2023
"A24..24",1,3,2023
"A24..24",2,4,2023
"A24..24",NA,5,2023
"A24..24",2,6,2023
"A24..24",1,7,2023
"A24..24",NA,8,2023
"A24..24",1,9,2023
"A24..24",2,10,2023
"A24..24",3,11,2023
"A24..24",5,12,2023
"A24..24",1,13,2023
"A24..24",2,14,2023
"A24..24",2,15,2023
"A24..24",1,16,2023
"A24..24",8,17,2023
"A24..24",2,18,2023
"A24..24",5,19,2023
"A24..24",2,20,2023
"A24..24",3,21,2023
"A24..24",NA,22,2023
"A25..25",NA,1,2023
"A25..25",NA,2,2023
"A25..25",3,3,2023
"A25..25",1,4,2023
"A25..25",3,5,2023
"A25..25",1,6,2023
"A25..25",2,7,2023
"A25..25",2,8,2023
"A25..25",3,9,2023
"A25..25",2,10,2023
"A25..25",7,11,2023
"A25..25",4,12,2023
"A25..25",2,13,2023
"A25..25",3,14,2023
"A25..25",2,15,2023
"A25..25",4,16,2023
"A25..25",3,17,2023
"A25..25",4,18,2023
"A25..25",3,19,2023
"A25..25",4,20,2023
"A25..25",4,21,2023
"A25..25",NA,22,2023
"A26..26",NA,1,2023
"A26..26",1,2,2023
"A26..26",2,3,2023
"A26..26",2,4,2023
"A26..26",3,5,2023
"A26..26",4,6,2023
"A26..26",2,7,2023
"A26..26",1,8,2023
"A26..26",3,9,2023
"A26..26",2,10,2023
"A26..26",5,11,2023
"A26..26",6,12,2023
"A26..26",2,13,2023
"A26..26",5,14,2023
"A26..26",4,15,2023
"A26..26",3,16,2023
"A26..26",3,17,2023
"A26..26",2,18,2023
"A26..26",7,19,2023
"A26..26",3,20,2023
"A26..26",1,21,2023
"A26..26",5,22,2023
"A27..27",NA,1,2023
"A27..27",NA,2,2023
"A27..27",1,3,2023
"A27..27",2,4,2023
"A27..27",1,5,2023
"A27..27",1,6,2023
"A27..27",5,7,2023
"A27..27",3,8,2023
"A27..27",2,9,2023
"A27..27",1,10,2023
"A27..27",2,11,2023
"A27..27",3,12,2023
"A27..27",3,13,2023
"A27..27",4,14,2023
"A27..27",5,15,2023
"A27..27",4,16,2023
"A27..27",6,17,2023
"A27..27",3,18,2023
"A27..27",3,19,2023
"A27..27",5,20,2023
"A27..27",2,21,2023
"A27..27",NA,22,2023
"A28..28",NA,1,2023
"A28..28",2,2,2023
"A28..28",2,3,2023
"A28..28",NA,4,2023
"A28..28",3,5,2023
"A28..28",2,6,2023
"A28..28",3,7,2023
"A28..28",1,8,2023
"A28..28",3,9,2023
"A28..28",3,10,2023
"A28..28",5,11,2023
"A28..28",4,12,2023
"A28..28",6,13,2023
"A28..28",3,14,2023
"A28..28",6,15,2023
"A28..28",6,16,2023
"A28..28",3,17,2023
"A28..28",3,18,2023
"A28..28",7,19,2023
"A28..28",7,20,2023
"A28..28",6,21,2023
"A28..28",2,22,2023
"A29..29",NA,1,2023
"A29..29",NA,2,2023
"A29..29",2,3,2023
"A29..29",2,4,2023
"A29..29",3,5,2023
"A29..29",2,6,2023
"A29..29",4,7,2023
"A29..29",3,8,2023
"A29..29",4,9,2023
"A29..29",4,10,2023
"A29..29",6,11,2023
"A29..29",4,12,2023
"A29..29",4,13,2023
"A29..29",4,14,2023
"A29..29",6,15,2023
"A29..29",2,16,2023
"A29..29",4,17,2023
"A29..29",4,18,2023
"A29..29",4,19,2023
"A29..29",3,20,2023
"A29..29",3,21,2023
"A29..29",1,22,2023
"A30..30",NA,1,2023
"A30..30",3,2,2023
"A30..30",1,3,2023
"A30..30",3,4,2023
"A30..30",2,5,2023
"A30..30",4,6,2023
"A30..30",4,7,2023
"A30..30",6,8,2023
"A30..30",4,9,2023
"A30..30",3,10,2023
"A30..30",4,11,2023
"A30..30",6,12,2023
"A30..30",5,13,2023
"A30..30",5,14,2023
"A30..30",4,15,2023
"A30..30",3,16,2023
"A30..30",13,17,2023
"A30..30",5,18,2023
"A30..30",4,19,2023
"A30..30",6,20,2023
"A30..30",4,21,2023
"A30..30",1,22,2023
"A31..31",1,1,2023
"A31..31",1,2,2023
"A31..31",2,3,2023
"A31..31",1,4,2023
"A31..31",5,5,2023
"A31..31",3,6,2023
"A31..31",2,7,2023
"A31..31",1,8,2023
"A31..31",6,9,2023
"A31..31",8,10,2023
"A31..31",6,11,2023
"A31..31",4,12,2023
"A31..31",5,13,2023
"A31..31",2,14,2023
"A31..31",5,15,2023
"A31..31",6,16,2023
"A31..31",7,17,2023
"A31..31",6,18,2023
"A31..31",12,19,2023
"A31..31",3,20,2023
"A31..31",11,21,2023
"A31..31",2,22,2023
"A32..32",1,1,2023
"A32..32",6,2,2023
"A32..32",3,3,2023
"A32..32",2,4,2023
"A32..32",5,5,2023
"A32..32",4,6,2023
"A32..32",3,7,2023
"A32..32",7,8,2023
"A32..32",3,9,2023
"A32..32",6,10,2023
"A32..32",7,11,2023
"A32..32",7,12,2023
"A32..32",12,13,2023
"A32..32",7,14,2023
"A32..32",5,15,2023
"A32..32",5,16,2023
"A32..32",10,17,2023
"A32..32",4,18,2023
"A32..32",10,19,2023
"A32..32",11,20,2023
"A32..32",8,21,2023
"A32..32",4,22,2023
"A33..33",NA,1,2023
"A33..33",2,2,2023
"A33..33",3,3,2023
"A33..33",2,4,2023
"A33..33",4,5,2023
"A33..33",4,6,2023
"A33..33",7,7,2023
"A33..33",4,8,2023
"A33..33",7,9,2023
"A33..33",7,10,2023
"A33..33",8,11,2023
"A33..33",8,12,2023
"A33..33",6,13,2023
"A33..33",3,14,2023
"A33..33",8,15,2023
"A33..33",11,16,2023
"A33..33",10,17,2023
"A33..33",10,18,2023
"A33..33",11,19,2023
"A33..33",10,20,2023
"A33..33",6,21,2023
"A33..33",4,22,2023
"A34..34",2,1,2023
"A34..34",1,2,2023
"A34..34",1,3,2023
"A34..34",6,4,2023
"A34..34",5,5,2023
"A34..34",1,6,2023
"A34..34",2,7,2023
"A34..34",10,8,2023
"A34..34",4,9,2023
"A34..34",5,10,2023
"A34..34",12,11,2023
"A34..34",15,12,2023
"A34..34",7,13,2023
"A34..34",7,14,2023
"A34..34",6,15,2023
"A34..34",4,16,2023
"A34..34",6,17,2023
"A34..34",6,18,2023
"A34..34",13,19,2023
"A34..34",6,20,2023
"A34..34",16,21,2023
"A34..34",4,22,2023
"A35..35",3,1,2023
"A35..35",NA,2,2023
"A35..35",1,3,2023
"A35..35",4,4,2023
"A35..35",5,5,2023
"A35..35",4,6,2023
"A35..35",2,7,2023
"A35..35",4,8,2023
"A35..35",4,9,2023
"A35..35",8,10,2023
"A35..35",6,11,2023
"A35..35",7,12,2023
"A35..35",9,13,2023
"A35..35",6,14,2023
"A35..35",9,15,2023
"A35..35",10,16,2023
"A35..35",8,17,2023
"A35..35",7,18,2023
"A35..35",7,19,2023
"A35..35",9,20,2023
"A35..35",13,21,2023
"A35..35",4,22,2023
"A36..36",3,1,2023
"A36..36",2,2,2023
"A36..36",3,3,2023
"A36..36",4,4,2023
"A36..36",4,5,2023
"A36..36",4,6,2023
"A36..36",7,7,2023
"A36..36",3,8,2023
"A36..36",7,9,2023
"A36..36",6,10,2023
"A36..36",4,11,2023
"A36..36",12,12,2023
"A36..36",6,13,2023
"A36..36",1,14,2023
"A36..36",7,15,2023
"A36..36",6,16,2023
"A36..36",7,17,2023
"A36..36",10,18,2023
"A36..36",11,19,2023
"A36..36",7,20,2023
"A36..36",4,21,2023
"A36..36",3,22,2023
"A37..37",2,1,2023
"A37..37",NA,2,2023
"A37..37",3,3,2023
"A37..37",5,4,2023
"A37..37",4,5,2023
"A37..37",5,6,2023
"A37..37",3,7,2023
"A37..37",7,8,2023
"A37..37",7,9,2023
"A37..37",13,10,2023
"A37..37",5,11,2023
"A37..37",13,12,2023
"A37..37",9,13,2023
"A37..37",4,14,2023
"A37..37",5,15,2023
"A37..37",9,16,2023
"A37..37",8,17,2023
"A37..37",5,18,2023
"A37..37",11,19,2023
"A37..37",3,20,2023
"A37..37",8,21,2023
"A37..37",2,22,2023
"A38..38",1,1,2023
"A38..38",1,2,2023
"A38..38",4,3,2023
"A38..38",2,4,2023
"A38..38",NA,5,2023
"A38..38",3,6,2023
"A38..38",2,7,2023
"A38..38",4,8,2023
"A38..38",6,9,2023
"A38..38",2,10,2023
"A38..38",7,11,2023
"A38..38",8,12,2023
"A38..38",5,13,2023
"A38..38",3,14,2023
"A38..38",3,15,2023
"A38..38",10,16,2023
"A38..38",6,17,2023
"A38..38",6,18,2023
"A38..38",11,19,2023
"A38..38",7,20,2023
"A38..38",6,21,2023
"A38..38",2,22,2023
"A39..39",NA,1,2023
"A39..39",NA,2,2023
"A39..39",1,3,2023
"A39..39",2,4,2023
"A39..39",6,5,2023
"A39..39",4,6,2023
"A39..39",2,7,2023
"A39..39",7,8,2023
"A39..39",3,9,2023
"A39..39",4,10,2023
"A39..39",7,11,2023
"A39..39",5,12,2023
"A39..39",10,13,2023
"A39..39",3,14,2023
"A39..39",6,15,2023
"A39..39",4,16,2023
"A39..39",7,17,2023
"A39..39",9,18,2023
"A39..39",6,19,2023
"A39..39",6,20,2023
"A39..39",7,21,2023
"A39..39",3,22,2023
"A40..40",NA,1,2023
"A40..40",2,2,2023
"A40..40",2,3,2023
"A40..40",NA,4,2023
"A40..40",3,5,2023
"A40..40",5,6,2023
"A40..40",4,7,2023
"A40..40",4,8,2023
"A40..40",5,9,2023
"A40..40",7,10,2023
"A40..40",8,11,2023
"A40..40",4,12,2023
"A40..40",9,13,2023
"A40..40",2,14,2023
"A40..40",6,15,2023
"A40..40",8,16,2023
"A40..40",10,17,2023
"A40..40",2,18,2023
"A40..40",11,19,2023
"A40..40",9,20,2023
"A40..40",7,21,2023
"A40..40",8,22,2023
"A41..41",NA,1,2023
"A41..41",3,2,2023
"A41..41",2,3,2023
"A41..41",2,4,2023
"A41..41",3,5,2023
"A41..41",2,6,2023
"A41..41",2,7,2023
"A41..41",4,8,2023
"A41..41",2,9,2023
"A41..41",3,10,2023
"A41..41",7,11,2023
"A41..41",4,12,2023
"A41..41",4,13,2023
"A41..41",2,14,2023
"A41..41",6,15,2023
"A41..41",8,16,2023
"A41..41",6,17,2023
"A41..41",4,18,2023
"A41..41",5,19,2023
"A41..41",6,20,2023
"A41..41",9,21,2023
"A41..41",NA,22,2023
"A42..42",2,1,2023
"A42..42",1,2,2023
"A42..42",2,3,2023
"A42..42",4,4,2023
"A42..42",NA,5,2023
"A42..42",2,6,2023
"A42..42",4,7,2023
"A42..42",4,8,2023
"A42..42",2,9,2023
"A42..42",4,10,2023
"A42..42",3,11,2023
"A42..42",4,12,2023
"A42..42",4,13,2023
"A42..42",4,14,2023
"A42..42",5,15,2023
"A42..42",6,16,2023
"A42..42",10,17,2023
"A42..42",3,18,2023
"A42..42",6,19,2023
"A42..42",7,20,2023
"A42..42",4,21,2023
"A42..42",5,22,2023
"A43..43",NA,1,2023
"A43..43",2,2,2023
"A43..43",2,3,2023
"A43..43",2,4,2023
"A43..43",2,5,2023
"A43..43",1,6,2023
"A43..43",4,7,2023
"A43..43",2,8,2023
"A43..43",1,9,2023
"A43..43",2,10,2023
"A43..43",7,11,2023
"A43..43",6,12,2023
"A43..43",3,13,2023
"A43..43",6,14,2023
"A43..43",5,15,2023
"A43..43",7,16,2023
"A43..43",2,17,2023
"A43..43",5,18,2023
"A43..43",12,19,2023
"A43..43",1,20,2023
"A43..43",10,21,2023
"A43..43",NA,22,2023
"A44..44",NA,1,2023
"A44..44",NA,2,2023
"A44..44",4,3,2023
"A44..44",1,4,2023
"A44..44",1,5,2023
"A44..44",1,6,2023
"A44..44",2,7,2023
"A44..44",1,8,2023
"A44..44",2,9,2023
"A44..44",3,10,2023
"A44..44",5,11,2023
"A44..44",6,12,2023
"A44..44",3,13,2023
"A44..44",4,14,2023
"A44..44",3,15,2023
"A44..44",2,16,2023
"A44..44",3,17,2023
"A44..44",1,18,2023
"A44..44",7,19,2023
"A44..44",8,20,2023
"A44..44",3,21,2023
"A44..44",NA,22,2023
"A45..45",NA,1,2023
"A45..45",2,2,2023
"A45..45",3,3,2023
"A45..45",1,4,2023
"A45..45",1,5,2023
"A45..45",1,6,2023
"A45..45",4,7,2023
"A45..45",2,8,2023
"A45..45",4,9,2023
"A45..45",1,10,2023
"A45..45",5,11,2023
"A45..45",NA,12,2023
"A45..45",4,13,2023
"A45..45",5,14,2023
"A45..45",1,15,2023
"A45..45",7,16,2023
"A45..45",5,17,2023
"A45..45",3,18,2023
"A45..45",5,19,2023
"A45..45",3,20,2023
"A45..45",4,21,2023
"A45..45",NA,22,2023
"A46..46",1,1,2023
"A46..46",1,2,2023
"A46..46",NA,3,2023
"A46..46",2,4,2023
"A46..46",1,5,2023
"A46..46",1,6,2023
"A46..46",4,7,2023
"A46..46",1,8,2023
"A46..46",NA,9,2023
"A46..46",4,10,2023
"A46..46",4,11,2023
"A46..46",1,12,2023
"A46..46",2,13,2023
"A46..46",2,14,2023
"A46..46",2,15,2023
"A46..46",7,16,2023
"A46..46",5,17,2023
"A46..46",4,18,2023
"A46..46",1,19,2023
"A46..46",4,20,2023
"A46..46",4,21,2023
"A46..46",2,22,2023
"A47..47",NA,1,2023
"A47..47",1,2,2023
"A47..47",2,3,2023
"A47..47",NA,4,2023
"A47..47",1,5,2023
"A47..47",2,6,2023
"A47..47",2,7,2023
"A47..47",3,8,2023
"A47..47",2,9,2023
"A47..47",2,10,2023
"A47..47",2,11,2023
"A47..47",1,12,2023
"A47..47",NA,13,2023
"A47..47",NA,14,2023
"A47..47",3,15,2023
"A47..47",5,16,2023
"A47..47",7,17,2023
"A47..47",3,18,2023
"A47..47",4,19,2023
"A47..47",2,20,2023
"A47..47",4,21,2023
"A47..47",2,22,2023
"A48..48",NA,1,2023
"A48..48",2,2,2023
"A48..48",1,3,2023
"A48..48",2,4,2023
"A48..48",1,5,2023
"A48..48",NA,6,2023
"A48..48",1,7,2023
"A48..48",1,8,2023
"A48..48",2,9,2023
"A48..48",4,10,2023
"A48..48",1,11,2023
"A48..48",6,12,2023
"A48..48",4,13,2023
"A48..48",3,14,2023
